benchmark_id,minisat,cryptominisat,glucose,minisat_noelim,lingeling,clasp,picosat,precosat,kcnfs,march_rw,mxc,riss,sat4j,glueminisat,qutersat,contrasat,MPhaseSAT64,cirminisat,rsat
1,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
2,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
3,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
4,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
5,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,F,T,T,T
6,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
7,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
8,T,T,T,T,T,T,T,T,F,F,T,T,T,T,T,T,T,T,T
9,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
10,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
11,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
12,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
13,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,F,T,T,T
14,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
15,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
16,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
17,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
18,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
19,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
20,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
21,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
22,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
408,T,T,T,T,T,T,T,T,F,T,T,T,T,T,T,T,T,T,T
647,T,T,T,T,T,T,T,T,F,T,T,T,T,T,T,T,T,T,T
675,T,T,T,T,T,T,T,T,F,T,T,T,T,T,T,T,T,T,T
813,T,T,T,T,T,T,T,T,F,T,T,T,T,T,T,T,T,T,T
1017,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
1018,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
1019,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
1020,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
1021,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
1022,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
1023,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
