benchmark_id,minisat,cryptominisat,glucose,minisat_noelim,lingeling,clasp,picosat,precosat,kcnfs,march_rw,mxc,riss,sat4j,glueminisat,qutersat,contrasat,MPhaseSAT64,cirminisat,rsat
1,0.332061,0.236373,0.317006,0.272848,0.150809,0.098077,0.152467,0.186096,1.333452,597.93799,0.05194,0.085423,0.39578,0.19113,0.434291,0.338184,0.281805,0.07016,0.182331
2,0.252184,0.257603,0.252895,0.265317,0.067757,0.131021,0.082803,0.10576,0.1507,2.035674,0.085743,0.136046,0.335396,0.10423,0.104049,0.285974,0.282321,0.101707,0.153243
3,0.289516,0.263987,0.304837,0.292453,0.185442,0.149271,0.086128,0.186955,0.148955,0.133487,0.084506,0.240708,0.599354,0.105031,0.280885,0.28609,0.285466,0.150086,0.157001
4,0.240074,0.233892,0.260198,0.242715,0.069816,0.09882,0.18366,0.074177,0.103678,0.050784,0.05143,0.084318,0.240099,0.104897,0.236287,0.236015,0.232585,0.067856,0.106744
5,0.23995,0.23523,0.272949,0.254961,0.067705,0.098117,0.134872,0.103866,0.069969,0.067346,0.051693,0.084179,0.301478,0.070999,0.240143,3600.0,0.235634,0.103265,0.103775
6,0.250339,0.235059,0.252822,0.244262,0.068149,0.05155,0.051763,0.051616,0.102342,0.049119,0.037013,0.086692,0.23435,0.072482,0.15514,0.237284,0.232611,0.071903,0.07616
7,0.257909,0.244145,0.274088,0.24529,0.084842,0.101042,0.085157,0.069899,0.082229,0.085005,0.053093,0.089642,0.301623,0.072585,0.13639,0.237378,0.281398,0.073111,0.106134
8,0.23652,0.238933,0.248978,0.244512,0.083031,0.135849,0.052954,0.072012,3600.0,3600.0,0.050386,0.15079,0.354449,0.070962,0.152412,0.28481,0.281805,0.104034,0.243434
9,0.238277,0.23665,0.248612,0.239363,0.051275,0.083354,0.054252,0.07273,0.180961,0.0991,0.082988,0.084998,0.25416,0.03875,0.154589,0.235855,0.231827,0.071391,0.185614
10,0.254607,0.261622,0.413348,0.264482,0.152004,0.13025,0.085114,0.141647,168.898989,0.136597,0.083182,0.235594,0.453746,0.154012,0.239768,0.285538,0.281466,0.104966,0.154375
11,0.25913,0.237529,0.26105,0.249207,0.069125,0.100427,0.10076,0.073383,0.050973,0.054597,0.05216,0.083225,0.300148,0.052727,0.103738,0.285531,0.236485,0.071094,0.105174
12,0.242411,0.245363,0.250313,0.248127,0.085499,0.099946,0.035534,0.104301,0.083281,0.070187,0.067808,0.087722,0.353824,0.054887,0.15364,0.286418,0.286223,0.071221,0.107232
13,0.23284,0.234959,0.247253,0.24092,0.034563,0.098197,0.055518,0.07228,0.099145,0.067657,0.035784,0.052998,0.251,0.073092,0.07226,3600.0,0.230611,0.054225,0.104607
14,0.232947,0.239034,0.255748,0.24037,0.070088,0.049898,0.035492,0.071561,0.086066,0.034429,0.036166,0.083499,0.301654,0.070942,0.153135,0.235733,0.232575,0.073027,0.104094
15,0.386889,0.240865,0.246854,0.242281,0.053544,0.082801,0.052421,0.072315,0.091325,0.049513,0.054385,0.082011,0.285658,0.071931,0.136996,0.236189,0.230379,0.102847,0.104714
16,0.356207,0.299372,0.275096,0.273439,0.252469,0.148202,0.100241,0.203237,0.183083,0.131893,0.149768,0.334172,0.435232,0.154803,0.256964,0.386984,0.384085,0.160073,0.204291
17,0.47941,0.424681,0.296429,0.300689,0.490649,0.382722,0.102906,0.857555,483.662363,0.149023,0.202097,0.754149,0.603352,0.208253,0.353774,0.587168,0.531308,0.203084,0.30641
18,0.250581,0.233632,0.255701,0.245493,0.054746,0.035737,0.036908,0.071448,0.083537,0.067014,0.035062,0.140291,0.251153,0.072758,0.151703,0.236029,0.230359,0.070874,0.104283
19,0.235667,0.237401,0.247744,0.2428,0.052085,0.052144,0.036465,0.071449,0.088421,0.086055,0.052018,0.085049,0.287871,0.07185,0.101724,0.238256,0.281258,0.055596,0.10713
20,19.145792,29.778081,106.316247,361.317199,357.026155,5.056706,99.117975,621.911132,145.560683,19.607835,18.179082,2008.385095,987.338051,24.892296,108.293015,29.935221,72.713702,27.126253,1118.736677
21,0.270852,0.280562,0.288909,0.310299,0.102347,0.150996,0.068639,0.205217,0.202381,0.155429,0.134337,0.385545,0.353806,0.103515,0.251652,0.283514,0.332404,0.153582,0.158649
22,0.236209,0.232244,0.2642,0.254814,0.104937,0.036093,0.050975,0.07344,1.635456,0.146656,0.052072,0.083429,0.333812,0.073687,0.151749,0.23829,0.232684,0.105233,0.184117
408,0.233395,0.231041,0.268301,0.23769,0.086766,0.053619,0.052753,0.071441,3600.0,0.050691,0.054527,0.134755,0.33679,0.074881,0.154255,0.238204,0.280559,0.069921,0.092028
647,0.235691,0.232551,0.244629,0.238057,0.107978,0.068866,0.035724,0.070423,3600.0,0.050024,0.053235,0.085896,0.298907,0.133602,0.186964,0.283718,0.284514,0.036421,0.102359
675,0.23668,0.237352,0.278419,0.255817,0.052723,0.050711,0.03884,0.103743,3600.0,0.051868,0.051068,0.087549,0.284696,0.074938,0.150347,0.233253,0.23274,0.041307,0.104637
813,0.236058,0.237396,0.246597,0.239734,0.086275,0.035566,0.035936,0.075006,3600.0,0.051164,0.052218,1.142158,0.285861,0.07529,0.153321,0.336178,0.288319,0.054208,0.109036
1017,0.289151,0.262619,0.259051,0.285985,0.304695,0.083287,0.1003,0.154746,3.036696,0.134564,0.136356,0.286512,0.537745,0.160902,0.203383,0.33678,0.431507,0.153604,0.207165
1018,0.482707,0.292984,0.290764,0.310187,0.603222,0.232183,0.152535,0.405195,0.332172,0.282714,0.387438,0.688334,0.535395,0.354243,0.3522,0.533966,0.784398,0.353899,0.437885
1019,0.304015,0.249433,0.258805,0.263508,0.202623,0.086411,0.054015,0.154957,0.197939,0.133589,0.134766,0.238482,0.485333,0.157568,0.201756,0.336973,0.48223,0.152497,0.21192
1020,0.965114,0.40024,0.325601,0.533023,1.658072,0.785521,0.250072,0.705693,23.137342,0.950635,1.305056,2.862319,0.852855,1.057887,0.811009,1.337726,1.78417,0.857531,0.655119
1021,0.230747,0.231887,0.244081,0.24032,0.055769,0.083978,0.035467,0.038433,0.081663,0.084752,0.035971,0.843289,0.236289,0.071606,0.13815,0.239262,0.23272,0.05655,0.101965
1022,0.522696,0.307553,0.286142,0.31632,0.50723,0.282931,0.084287,0.354592,33.535567,0.332025,0.383208,0.842929,0.45249,0.35654,0.356768,0.58605,0.785014,0.354722,0.353656
1023,0.334374,0.283082,0.279167,0.27947,0.537526,0.185454,0.084172,0.256073,50.121041,0.233061,0.182956,2.155628,0.451984,0.158491,0.307161,0.33876,0.538253,0.153044,0.253121
1277,0.871471,0.251626,0.2713,0.263527,0.099395,0.130812,0.067125,0.10554,0.148965,0.096714,0.082346,0.085287,0.300666,0.133833,0.150467,0.336321,0.333129,0.074509,0.084022
1278,0.872379,0.251168,0.258191,0.239591,0.071971,0.049868,0.052074,0.069817,0.433146,1032.673507,0.069696,0.187163,0.382413,0.135175,0.23208,0.28548,0.381941,0.059331,0.101434
1279,0.857387,0.251136,0.2548,0.265747,0.101484,0.09926,0.069669,0.10671,0.148402,0.098594,0.101147,0.090547,0.333107,0.100939,0.151756,0.285456,0.280712,0.108555,0.103457
1280,0.871655,0.241577,0.246918,0.262526,0.069044,0.066035,0.051093,0.071557,0.684911,788.688943,0.067021,0.084669,0.43244,0.100344,0.104705,0.332024,0.382217,0.15426,0.183473
1281,0.869694,0.254281,0.258748,0.248266,0.101249,0.083207,0.056004,0.100192,0.100176,0.09912,0.069585,0.08617,0.250311,0.068824,0.156866,0.289103,0.281926,0.133444,0.099746
1282,0.857376,0.248683,0.278837,0.25585,0.087173,0.100208,0.039193,0.071709,0.085011,0.098698,0.052066,0.083907,0.252147,0.069105,0.152581,0.283937,0.332101,0.071426,0.082636
